p_decay,w_visible,theta,T_survival_theta_0_1,final_visible_ratio,final_visible_edges,ticks,tsurvival_basis,tsurvival_status,run_id
0.99,0.015,0.1,99,0.20754716981132076,11,100,final_visible_ratio>=theta,OK_FINAL_GE_THRESHOLD,b03f5bc1-925c-4f7d-8e57-a98ac922aabd
0.99,0.02,0.1,78,0.018867924528301886,1,100,first_visible_ratio_below_theta_at_tick_79,OK_LOG_SCANNED,0071ac9f-d63d-4e3e-8476-7e62ce166403
0.99,0.03,0.1,36,0.0,0,100,first_visible_ratio_below_theta_at_tick_37,OK_LOG_SCANNED,22da7519-029d-45ec-bdcb-e3b5b89feb8e
0.995,0.015,0.1,99,0.5471698113207547,29,100,final_visible_ratio>=theta,OK_FINAL_GE_THRESHOLD,83019864-fb1b-45d2-a897-f915eb5bb89f
0.995,0.02,0.1,99,0.4339622641509434,23,100,final_visible_ratio>=theta,OK_FINAL_GE_THRESHOLD,00bf2f66-42bd-476b-b1b0-b26d7e2c6857
0.995,0.03,0.1,74,0.0,0,100,first_visible_ratio_below_theta_at_tick_75,OK_LOG_SCANNED,21f55f14-c842-451a-bd00-f0c074daba54
0.999,0.015,0.1,99,0.7735849056603774,41,100,final_visible_ratio>=theta,OK_FINAL_GE_THRESHOLD,f820c0ef-1c69-49f4-aa0f-26b2ddb3a1fa
0.999,0.02,0.1,99,0.5849056603773585,31,100,final_visible_ratio>=theta,OK_FINAL_GE_THRESHOLD,b743bab7-62da-48f0-82d2-841ef266af91
0.999,0.03,0.1,99,0.41509433962264153,22,100,final_visible_ratio>=theta,OK_FINAL_GE_THRESHOLD,00c2161f-7280-4a2c-9db2-96783d22b1ed
